transaction_id,account_id,timestamp,amount,currency,direction,channel,counterparty_name,transaction_type,memo
TXN_1001,ACC_001,2026-04-01T09:14:00,78.34,USD,debit,card,Metro Grocery,purchase,weekly groceries
TXN_1002,ACC_001,2026-04-03T08:10:00,1450.00,USD,debit,ach,City Apartments,rent,monthly rent
TXN_1003,ACC_001,2026-04-07T11:20:00,2100.00,USD,credit,ach,Acme Payroll,payroll,salary deposit
TXN_1004,ACC_001,2026-04-10T13:30:00,9500.00,USD,credit,cash,Branch 17,cash_deposit,in branch deposit
TXN_1005,ACC_001,2026-04-11T10:05:00,9800.00,USD,credit,cash,Branch 17,cash_deposit,in branch deposit
TXN_1006,ACC_001,2026-04-12T15:44:00,9900.00,USD,credit,cash,Branch 17,cash_deposit,in branch deposit
TXN_1007,ACC_001,2026-04-14T16:40:00,29000.00,USD,debit,wire,Binance Offshore,wire_transfer,international wire
TXN_1008,ACC_001,2026-04-16T18:14:00,42.80,USD,debit,card,Transit Authority,purchase,metro refill
TXN_1009,ACC_001,2026-04-20T08:47:00,320.00,USD,debit,ach,Utility Electric,utility,bill pay
TXN_1010,ACC_001,2026-04-25T14:00:00,500.00,USD,debit,ach,Savings Account,transfer,monthly savings
TXN_2001,ACC_002,2026-04-06T08:30:00,12000.00,USD,credit,cash,Downtown Branch,cash_deposit,monday register drop Joe's Pizza
TXN_2002,ACC_002,2026-04-06T15:15:00,4200.00,USD,debit,ach,Fresh Farm Produce,vendor_payment,ingredients supplier
TXN_2003,ACC_002,2026-04-07T09:00:00,5300.00,USD,debit,ach,Joe's Pizza Payroll,payroll,weekly payroll
TXN_2004,ACC_002,2026-04-08T10:05:00,1800.00,USD,debit,ach,City Gas Utility,utility,oven gas bill
TXN_2005,ACC_002,2026-04-13T08:31:00,12000.00,USD,credit,cash,Downtown Branch,cash_deposit,monday register drop Joe's Pizza
TXN_2006,ACC_002,2026-04-13T14:50:00,3900.00,USD,debit,ach,Fresh Farm Produce,vendor_payment,ingredients supplier
TXN_2007,ACC_002,2026-04-14T09:04:00,5400.00,USD,debit,ach,Joe's Pizza Payroll,payroll,weekly payroll
TXN_2008,ACC_002,2026-04-15T12:10:00,900.00,USD,debit,card,Restaurant Supply Co,purchase,kitchen supplies
TXN_2009,ACC_002,2026-04-20T08:29:00,12000.00,USD,credit,cash,Downtown Branch,cash_deposit,monday register drop Joe's Pizza
TXN_2010,ACC_002,2026-04-20T15:05:00,4100.00,USD,debit,ach,Fresh Farm Produce,vendor_payment,ingredients supplier
TXN_2011,ACC_002,2026-04-21T09:03:00,5350.00,USD,debit,ach,Joe's Pizza Payroll,payroll,weekly payroll
TXN_2012,ACC_002,2026-04-27T08:28:00,12000.00,USD,credit,cash,Downtown Branch,cash_deposit,monday register drop Joe's Pizza
TXN_2013,ACC_002,2026-04-27T13:50:00,4300.00,USD,debit,ach,Fresh Farm Produce,vendor_payment,ingredients supplier
TXN_2014,ACC_002,2026-04-28T09:02:00,5450.00,USD,debit,ach,Joe's Pizza Payroll,payroll,weekly payroll
